"PK","Lng","Lat"
"134","-73.536064","5.355991"
"135","-73.535422","5.35982"
"136","-73.53183300000001","5.368007"
"137","-73.526006","5.373994"
"138","-73.51925","5.37824"
"139","-73.512185","5.38128"
"140","-73.504803","5.384553"
"141","-73.499501","5.390832"
"142","-73.49666000000001","5.39703"
"143","-73.492014","5.401884"
"144","-73.484583","5.406279"
"145","-73.480605","5.401844"
"146","-73.47532099999999","5.408529"
"147","-73.468773","5.413564"
"148","-73.461386","5.415596"
"149","-73.45505799999999","5.420753"
"150","-73.454272","5.426816"
"151","-73.454002","5.435155"
"152","-73.451047","5.443352"
"153","-73.448404","5.451535"
"154","-73.448894","5.459591"
"155","-73.455237","5.461575"
"156","-73.46141299999999","5.466906"
"157","-73.454708","5.468991"
"158","-73.45254199999999","5.473817"
"159","-73.452225","5.478416"
"160","-73.445858","5.473221"
"161","-73.438157","5.470839"
"162","-73.43295500000001","5.468573"
"163","-73.427339","5.462227"
"164","-73.42223199999999","5.458669"
"165","-73.416731","5.4652"
"166","-73.410421","5.471249"
"167","-73.40615699999999","5.478312"
"168","-73.40246","5.486299"
"169","-73.39742200000001","5.487452"
"170","-73.395499","5.478959"
"171","-73.391007","5.471924"
"172","-73.386027","5.477654"
"173","-73.388572","5.481067"
"174","-73.381916","5.484546"
"175","-73.38052","5.491575"
"176","-73.373457","5.495903"
"177","-73.378225","5.498077"
"178","-73.37310600000001","5.505279"
"179","-73.365894","5.507067"
"180","-73.36499000000001","5.515509"
"181","-73.361931","5.523311"
"182","-73.357316","5.530801"
"183","-73.355966","5.538835"
"184","-73.354979","5.547214"
"185","-73.349936","5.554713"
"186","-73.344441","5.561821"
"187","-73.337418","5.5675"
"188","-73.330956","5.573684"
"189","-73.325853","5.580681"
"190","-73.322315","5.588604"
"191","-73.318727","5.596108"
"192","-73.316208","5.604255"
"193","-73.309443","5.60926"
"194","-73.30290599999999","5.615328"
"195","-73.295029","5.619615"
"196","-73.287571","5.624704"
"197","-73.283265","5.630509"
"198","-73.28132100000001","5.639173"
"199","-73.283146","5.64778"
"200","-73.275925","5.652607"
"201","-73.269211","5.658629"
"202","-73.264242","5.664796"
"203","-73.26080899999999","5.672892"
"204","-73.257667","5.681293000000001"
"205","-73.250705","5.686216"
"206","-73.24209399999999","5.685035"
"207","-73.236985","5.691787999999999"
"208","-73.232664","5.699615"
"209","-73.22631699999999","5.705847"
"210","-73.222066","5.713137999999999"
"211","-73.22139300000001","5.722081000000001"
"212","-73.21830799999999","5.729694000000001"
"213","-73.20990500000001","5.73288"
"214","-73.201904","5.737028"
"215","-73.19450000000001","5.740438000000001"
"216","-73.190926","5.748143000000001"
"217","-73.18316","5.748723000000001"
"218","-73.175648","5.746646"
"219","-73.168685","5.752228"
"220","-73.16258000000001","5.758068999999999"
"221","-73.15640399999999","5.764491"
"222","-73.14839000000001","5.768528"
"223","-73.140665","5.772999999999999"
"224","-73.13262","5.777095000000001"
"225","-73.123903","5.779277"
"226","-73.11500100000001","5.777976"
"227","-73.105981","5.778123"
"228","-73.097222","5.779645"
"229","-73.090464","5.784934"
"230","-73.081546","5.786342"
"231","-73.07261","5.787605"
"232","-73.06362900000001","5.788519"
"233","-73.05469100000001","5.789776"
